filename,subject,q1,q2,q3,q4,mora,word,initial_tone,final_tone,accented_mora,mora_dur,mora_int,mora_f0_max,word_dur,word_int,word_f0_range
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,se,moosiwakearimasendesita,%LH,LHL%,ma,0.1350762385437918,63.13855676867584,135.20047618120574,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,n,moosiwakearimasendesita,%LH,LHL%,ma,0.03444390298103994,60.09340913477679,122.45595177010203,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,de,moosiwakearimasendesita,%LH,LHL%,ma,0.09608852179496963,60.93996668338927,121.07341410668148,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,si,moosiwakearimasendesita,%LH,LHL%,ma,0.07768633408477155,61.13337965664415,--undefined--,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q092_T18_04_59,P20211210_16_46,15,4,91,1,ta,moosiwakearimasendesita,%LH,LHL%,ma,0.1505320376828574,63.34193651720753,110.72178467583414,1.1360000000000001,63.15292875725463,52.28869734832546
P20211210_16_46_Q094_T18_03_56,P20211210_16_46,18,29,84,0,su,sumimasendesita,%LH,LHL%,se,0.14404520827999212,37.86795264206059,--undefined--,1.030084354829425,55.91582686799407,33.22291408115143
P20211210_16_46_Q094_T18_03_56,P20211210_16_46,18,29,84,0,mi,sumimasendesita,%LH,LHL%,se,0.09965215867173283,51.84509069183307,111.23435757582784,1.030084354829425,55.91582686799407,33.22291408115143
P20211210_16_46_Q094_T18_03_56,P20211210_16_46,18,29,84,0,ma,sumimasendesita,%LH,LHL%,se,0.11064113884449578,56.849722113457595,110.97512292158652,1.030084354829425,55.91582686799407,33.22291408115143
P20211210_16_46_Q094_T18_03_56,P20211210_16_46,18,29,84,0,se,sumimasendesita,%LH,LHL%,se,0.1637488854898539,58.141333779846605,121.85190360171454,1.030084354829425,55.91582686799407,33.22291408115143
P20211210_16_46_Q094_T18_03_56,P20211210_16_46,18,29,84,0,n,sumimasendesita,%LH,LHL%,se,0.08630008829870661,55.99299596795406,113.16477652943806,1.030084354829425,55.91582686799407,33.22291408115143
